FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.1256,1256,POINT (16.349421774548603 48.22629819554356),W‰hringer Straﬂe-Volksoper,W‰hringer Straﬂe-Volksoper,40A,1510,
OEFFHALTESTOGD.1887,1887,POINT (16.260770200816726 48.162465225212536),Sankt-Hubertus-Platz,Sankt-Hubertus-Platz,56B,1150,
OEFFHALTESTOGD.1888,1888,POINT (16.282124238037433 48.16792991183417),"Speising, Hermesstraﬂe","Speising, Hermesstraﬂe","55A, 56B",504,
OEFFHALTESTOGD.1889,1889,POINT (16.293099317636354 48.1725918546543),Sankt-Hemma-Kirche,Sankt-Hemma-Kirche,56B,1149,
OEFFHALTESTOGD.1890,1890,POINT (16.30038285248469 48.16706516810663),Haus Hetzendorf,Haus Hetzendorf,56B,906,
OEFFHALTESTOGD.1891,1891,POINT (16.29597521123755 48.16440189905312),Dorfmeistergasse,Dorfmeistergasse,56A,240,
OEFFHALTESTOGD.1892,1892,POINT (16.291161012397055 48.15713471512613),Reibergasse,Reibergasse,56A,1081,
OEFFHALTESTOGD.1893,1893,POINT (16.289762978962028 48.15048671024685),Haus Atzgersdorf,Haus Atzgersdorf,"56B, 58A",1000,
OEFFHALTESTOGD.1894,1894,POINT (16.27475963997375 48.154538863776985),Maurer Friedhof,Maurer Friedhof,56A,853,
OEFFHALTESTOGD.1895,1895,POINT (16.270827672479935 48.15450667399246),Franz-Asenbauer-Gasse,Franz-Asenbauer-Gasse,56A,343,
OEFFHALTESTOGD.1896,1896,POINT (16.27026101718715 48.163715769755434),Buchbindergasse,Buchbindergasse,56A,181,
OEFFHALTESTOGD.1897,1897,POINT (16.27763897014921 48.167329425786555),Strampfergasse,Strampfergasse,"55A, 56B",1602,
OEFFHALTESTOGD.1898,1898,POINT (16.296454644034092 48.17212869023218),Stranzenberggasse,Stranzenberggasse,58A,1332,
OEFFHALTESTOGD.1899,1899,POINT (16.296118902992994 48.169999963314744),Atzgersdorfer Straﬂe,Atzgersdorfer Straﬂe,58A,96,
OEFFHALTESTOGD.1900,1900,POINT (16.295890048866404 48.16952981603558),Atzgersdorfer Straﬂe,Atzgersdorfer Straﬂe,58A,96,
OEFFHALTESTOGD.1901,1901,POINT (16.27994570355614 48.1579801020438),Deiﬂenhofergasse,Deiﬂenhofergasse,58A,227,
OEFFHALTESTOGD.1902,1902,POINT (16.289733834687688 48.15318054592366),Endemanngasse,Endemanngasse,58A,278,
OEFFHALTESTOGD.1903,1903,POINT (16.259507580794846 48.166882463114376),Kleiner Ring,Kleiner Ring,55A,686,
OEFFHALTESTOGD.1904,1904,POINT (16.386378539710286 48.220500394599966),Rueppgasse,Rueppgasse,5B,1130,
OEFFHALTESTOGD.1905,1905,POINT (16.382160414461463 48.22174433622417),Taborstraﬂe/Heinestraﬂe,Taborstraﬂe/Heinestraﬂe,5B,494,
OEFFHALTESTOGD.1906,1906,POINT (16.380410679520768 48.21927300966649),Taborstraﬂe,Taborstraﬂe,5B,1891,
OEFFHALTESTOGD.1907,1907,POINT (16.37634270782926 48.22011875891939),Leopoldsgasse,Leopoldsgasse,5A,824,
OEFFHALTESTOGD.1908,1908,POINT (16.370191072850925 48.226695326112484),Gauﬂplatz,Gauﬂplatz,5B,380,
OEFFHALTESTOGD.1909,1909,POINT (16.37016743062985 48.23324857523009),Brigittaplatz,Brigittaplatz,5B,170,
OEFFHALTESTOGD.1910,1910,POINT (16.370286415694235 48.23589564327847),J‰gerstraﬂe,J‰gerstraﬂe,5B,1667,
