FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.247,247,POINT (16.304966175036434 48.12583444340874),Kellerberggasse,Kellerberggasse,"269, 270",663,
OEFFHALTESTOGD.248,248,POINT (16.426946170716853 48.308436336254445),Rendezvousberg,Rendezvousberg,"228, 420, 426, 431",1744,
OEFFHALTESTOGD.249,249,POINT (16.266756062040123 48.13605733410432),Kaiser-Franz-Josef-Straﬂe,Kaiser-Franz-Josef-Straﬂe,"253, 259",637,
OEFFHALTESTOGD.250,250,POINT (16.298424935552845 48.12933529524594),Siebenhirten Brunner Straﬂe,Siebenhirten Brunner Straﬂe,"207, 260, 269, 270",1236,
OEFFHALTESTOGD.251,251,POINT (16.39083458849735 48.16459385906912),Urselbrunnengasse,Urselbrunnengasse,"266, 271",1414,
OEFFHALTESTOGD.252,252,POINT (16.395890344376436 48.15524866226156),Kronawettergasse,Kronawettergasse,"266, 271",721,
OEFFHALTESTOGD.253,253,POINT (16.382868716450364 48.28769671157919),Ruﬂbergstraﬂe,Ruﬂbergstraﬂe,"232, 533",1135,
OEFFHALTESTOGD.254,254,POINT (16.216915063373925 48.210011027936766),Hadersdorfer Hauptstraﬂe,Hadersdorfer Hauptstraﬂe,"350, 351, 447, 547",459,
OEFFHALTESTOGD.255,255,POINT (16.415948335679108 48.301479580862704),Freiheitsplatz,Freiheitsplatz,"125, 228",352,
OEFFHALTESTOGD.256,256,POINT (16.201303673231532 48.22975665987392),Hohe-Wand-Wiese,Hohe-Wand-Wiese,"249, 250, 449",541,
OEFFHALTESTOGD.257,257,POINT (16.230895255719787 48.13795785059728),Bohattaweg,Bohattaweg,"253, 354",152,
OEFFHALTESTOGD.258,258,POINT (16.335349347617637 48.14951871663959),Triester Straﬂe/Sterngasse,Triester Straﬂe/Sterngasse,360,1390,
OEFFHALTESTOGD.259,259,POINT (16.484270788628876 48.28504641739999),S¸ﬂenbrunn,S¸ﬂenbrunn,"124, 125",1357,
OEFFHALTESTOGD.260,260,POINT (16.403374854897564 48.26761310512849),Br¸nner Straﬂe,Br¸nner Straﬂe,"228, 420, 426, 431",176,
OEFFHALTESTOGD.261,261,POINT (16.401054534846615 48.31133689677969),Senderstraﬂe,Senderstraﬂe,228,1224,
OEFFHALTESTOGD.262,262,POINT (16.487621033201183 48.28288441116361),Stallarngasse,Stallarngasse,"124, 125",1307,
OEFFHALTESTOGD.263,263,POINT (16.336880013603032 48.151193157097104),Triester Str./A.-Baumgartner Str.,Triester Str./A.-Baumgartner Str.,360,585,
OEFFHALTESTOGD.264,264,POINT (16.381557891962835 48.29399772723385),Mayerweckstraﬂe,Mayerweckstraﬂe,"220, 232",860,
OEFFHALTESTOGD.265,265,POINT (16.391009462668126 48.12578431423055),Rustenfeld Siedlung,Rustenfeld Siedlung,"267, 368, 467, 469",1131,
OEFFHALTESTOGD.266,266,POINT (16.24343219659739 48.20774306194527),Mondweg,Mondweg,249,887,
OEFFHALTESTOGD.267,267,POINT (16.48535411116181 48.15987722043429),Albern Sendnergasse,Albern Sendnergasse,279,15,
OEFFHALTESTOGD.268,268,POINT (16.401372925241184 48.26406782331358),Bahnsteggasse,Bahnsteggasse,431,1554,
OEFFHALTESTOGD.269,269,POINT (16.309923696436396 48.12927556409022),Siebenhirten,Siebenhirten,"207, 260, 265, 266, 269, 270",1235,
OEFFHALTESTOGD.270,270,POINT (16.404128172090584 48.137537124083636),Oberlaaer Platz,Oberlaaer Platz,271,970,
OEFFHALTESTOGD.271,271,POINT (16.28333838078465 48.134953107240484),Liesing,Liesing,"207, 253, 255, 256, 257, 259, 264, 354",788,
OEFFHALTESTOGD.272,272,POINT (16.26133763963654 48.1979125846883),H¸tteldorf,H¸tteldorf,"249, 250, 350, 351, 447, 449, 547",560,
OEFFHALTESTOGD.273,273,POINT (16.38826698927822 48.276722432668834),Autokaderstraﬂe,Autokaderstraﬂe,232,102,
OEFFHALTESTOGD.274,274,POINT (16.25834685054521 48.13261522194733),Hochstraﬂe,Hochstraﬂe,"255, 259",1106,
OEFFHALTESTOGD.275,275,POINT (16.373264709379125 48.17526759023545),Quellenplatz,Quellenplatz,"368, 467, 469, 566",1058,
OEFFHALTESTOGD.276,276,POINT (16.411121827092582 48.301833512275095),Stammersdorfer Straﬂe/Pfarrhof,Stammersdorfer Straﬂe/Pfarrhof,"125, 228",1310,
OEFFHALTESTOGD.277,277,POINT (16.401581682628546 48.28193610607589),÷denburger Straﬂe/Schulzentrum,÷denburger Straﬂe/Schulzentrum,"228, 426",1541,
OEFFHALTESTOGD.278,278,POINT (16.302692967249655 48.12286336370729),Auf der Schanz,Auf der Schanz,"269, 270",1611,
OEFFHALTESTOGD.279,279,POINT (16.25757716253597 48.13806124387901),Breitenfurter Straﬂe/Willergasse,Breitenfurter Straﬂe/Willergasse,"253, 354",198,
OEFFHALTESTOGD.280,280,POINT (16.482037940394317 48.2872019183005),Schattenfrohgasse,Schattenfrohgasse,"124, 125",1159,
OEFFHALTESTOGD.281,281,POINT (16.384510807353333 48.169403008421135),Eisenstadtplatz,Eisenstadtplatz,"266, 271",272,
OEFFHALTESTOGD.282,282,POINT (16.39919820384311 48.25700809048499),Floridsdorf,Floridsdorf,"228, 232, 420, 426, 431, 533",334,
OEFFHALTESTOGD.283,283,POINT (16.38191209160513 48.153643895796755),Alaudagasse,Alaudagasse,"267, 368, 467, 469",14,
OEFFHALTESTOGD.284,284,POINT (16.209583322790703 48.22426936329084),Kasgraben/Gr¸ner J‰ger,Kasgraben/Gr¸ner J‰ger,"249, 250, 449",1432,
OEFFHALTESTOGD.285,285,POINT (16.32860612078092 48.14068386786072),Neu Erlaa,Neu Erlaa,360,918,
OEFFHALTESTOGD.286,286,POINT (16.427047403602252 48.29672679177533),Tilakstraﬂe,Tilakstraﬂe,125,1381,
OEFFHALTESTOGD.287,287,POINT (16.395133191739568 48.26140622801952),Nordbr¸cke,Nordbr¸cke,232,943,
OEFFHALTESTOGD.288,288,POINT (16.397872109729207 48.14504298220771),Franz-Koci-Straﬂe,Franz-Koci-Straﬂe,"266, 271",1793,
OEFFHALTESTOGD.289,289,POINT (16.247679207564623 48.20756732823237),Siriusweg,Siriusweg,249,1266,
OEFFHALTESTOGD.290,290,POINT (16.244785547733795 48.20434451820037),H¸tteldorfer Friedhof,H¸tteldorfer Friedhof,249,562,
OEFFHALTESTOGD.291,291,POINT (16.418016229440674 48.132445219481944),Johanneskapelle,Johanneskapelle,271,605,
OEFFHALTESTOGD.292,292,POINT (16.358575371135167 48.139253133430984),Laxenburger Str/Heizwerkstr,Laxenburger Str/Heizwerkstr,566,228,
OEFFHALTESTOGD.293,293,POINT (16.423453823114873 48.13144980016263),Klederinger Straﬂe,Klederinger Straﬂe,271,685,
OEFFHALTESTOGD.294,294,POINT (16.38275168711548 48.139953292391525),Franzosenweg,Franzosenweg,"267, 368, 467, 469",349,
OEFFHALTESTOGD.295,295,POINT (16.230971977341728 48.207780867810655),Mariabrunn Kirche,Mariabrunn Kirche,"250, 350, 351, 447, 449, 547",360,
OEFFHALTESTOGD.296,296,POINT (16.280925785146625 48.13210790966713),Liesing Bad,Liesing Bad,"207, 255, 256, 257, 264",789,
OEFFHALTESTOGD.297,297,POINT (16.223383510553276 48.21373214592894),Anzengruberstraﬂe,Anzengruberstraﬂe,249,74,
OEFFHALTESTOGD.298,298,POINT (16.484608914147483 48.1558436166281),Alberner Straﬂe,Alberner Straﬂe,279,18,
OEFFHALTESTOGD.299,299,POINT (16.207909101699013 48.207067414270774),Hauptstraﬂe 150,Hauptstraﬂe 150,"350, 351, 447, 547",1653,
OEFFHALTESTOGD.300,300,POINT (16.263760111228734 48.13887335960078),An der Liesing,An der Liesing,354,95,
OEFFHALTESTOGD.301,301,POINT (16.303645894135432 48.18820156468697),Hietzing,Hietzing,L,520,
OEFFHALTESTOGD.302,302,POINT (16.301870414255042 48.12848260065698),Liesing Industriegel‰nde S¸d,Liesing Industriegel‰nde S¸d,"207, 260, 269, 270",575,
OEFFHALTESTOGD.303,303,POINT (16.36675077821645 48.25446625974516),Kreilplatz,Kreilplatz,"238, 239, 241, 341, 439",717,
OEFFHALTESTOGD.304,304,POINT (16.48957094380703 48.15874882006726),Mannswˆrther Straﬂe,Mannswˆrther Straﬂe,279,825,
OEFFHALTESTOGD.305,305,POINT (16.255339673150363 48.20252161981474),"H¸tteldorf, Bujattigasse","H¸tteldorf, Bujattigasse","249, 250, 350, 351, 447, 449, 547",184,
OEFFHALTESTOGD.306,306,POINT (16.198940257495305 48.231133047418986),Mauerbachstraﬂe/Sofienalpenstraﬂe,Mauerbachstraﬂe/Sofienalpenstraﬂe,"249, 250, 449",1271,
OEFFHALTESTOGD.307,307,POINT (16.36725871294692 48.26036483477265),Nuﬂdorf,Nuﬂdorf,"238, 239, 241, 341, 439",948,
OEFFHALTESTOGD.308,308,POINT (16.270524161345087 48.24383781843152),Exelbergstraﬂe/Parkplatz,Exelbergstraﬂe/Parkplatz,243,1564,
OEFFHALTESTOGD.309,309,POINT (16.301404685437323 48.26387971246645),J‰gerhaus,J‰gerhaus,243,1251,
OEFFHALTESTOGD.310,310,POINT (16.278176746907693 48.136891434618455),Alte Brauerei Liesing,Alte Brauerei Liesing,"253, 259, 354",837,
OEFFHALTESTOGD.311,311,POINT (16.364696542586255 48.24927131728898),Heiligenstadt,Heiligenstadt,"238, 239, 241, 341, 439",491,
OEFFHALTESTOGD.312,312,POINT (16.389657899946524 48.29651651575457),Anton-Bˆck-Gasse,Anton-Bˆck-Gasse,"125, 232",69,
OEFFHALTESTOGD.313,313,POINT (16.20589375852405 48.22743544169384),Greutberggasse,Greutberggasse,"249, 250, 449",423,
OEFFHALTESTOGD.314,314,POINT (16.313749039033137 48.25620804383584),Gspˆttgraben,Gspˆttgraben,243,308,
OEFFHALTESTOGD.315,315,POINT (16.359850645179726 48.2715108429791),Burgstall,Burgstall,"238, 239, 241, 341, 439",191,
OEFFHALTESTOGD.316,316,POINT (16.249432417185417 48.207670289020726),Merkurweg,Merkurweg,249,870,
OEFFHALTESTOGD.317,317,POINT (16.397302815 48.25821770022162),Am Spitz,Am Spitz,232,50,
OEFFHALTESTOGD.318,318,POINT (16.41066423729077 48.28003999519121),Carabelligasse,Carabelligasse,"228, 420, 426",203,
OEFFHALTESTOGD.319,319,POINT (16.45155394526158 48.27821597651802),Leopoldau,Leopoldau,125,769,
OEFFHALTESTOGD.396,396,POINT (16.43067365039654 48.23942474485301),Kagraner Br¸cke,Kagraner Br¸cke,1183,631,
OEFFHALTESTOGD.397,397,POINT (16.421207225820073 48.23459277616287),Hotel NH Danube City,Hotel NH Danube City,1183,1797,
OEFFHALTESTOGD.398,398,POINT (16.430168855767697 48.206424517109056),Donaumarina,Donaumarina,1183,282,
OEFFHALTESTOGD.399,399,POINT (16.374439551463897 48.213083797144456),Morzinplatz,Morzinplatz,1185,13,
OEFFHALTESTOGD.400,400,POINT (16.419903739320297 48.23389405641284),Julius-Payer-Gasse,Julius-Payer-Gasse,1183,618,
OEFFHALTESTOGD.401,401,POINT (16.417320925262143 48.23251664863746),Kaiserm¸hlen-VIC,Kaiserm¸hlen-VIC,1183,641,
OEFFHALTESTOGD.402,402,POINT (16.416196162977144 48.23191677462844),Kaiserm¸hlen-VIC,Kaiserm¸hlen-VIC,1183,641,
OEFFHALTESTOGD.403,403,POINT (16.33477328136912 48.175170744220495),Meidling Bahnhof,Meidling Bahnhof,1187,1015,
OEFFHALTESTOGD.404,404,POINT (16.23170887511753 48.12828160044532),Rodaun Gasthaus Maut,Rodaun Gasthaus Maut,255,374,
OEFFHALTESTOGD.405,405,POINT (16.22752168487298 48.12672559675784),Rodaun Wohnheim,Rodaun Wohnheim,255,327,
OEFFHALTESTOGD.406,406,POINT (16.22310337212032 48.12494052945361),Rodaun Waldm¸hle,Rodaun Waldm¸hle,255,1442,
OEFFHALTESTOGD.407,407,POINT (16.254795674259377 48.130202190567076),Sonnbergstraﬂe,Sonnbergstraﬂe,255,1274,
OEFFHALTESTOGD.408,408,POINT (16.412089398990258 48.13592657907359),Unterlaaer Straﬂe,Unterlaaer Straﬂe,271,1411,
OEFFHALTESTOGD.409,409,POINT (16.475149154060187 48.222875856493076),Aspernstraﬂe,Aspernstraﬂe,"391, 392",299,
OEFFHALTESTOGD.410,410,POINT (16.27167957305355 48.13377334038163),Liesing Aqu‰dukt,Liesing Aqu‰dukt,255,76,
OEFFHALTESTOGD.411,411,POINT (16.442370137154107 48.15446962537533),Zentralfriedhof 2.Tor,Zentralfriedhof 2.Tor,"373, 572",1521,
OEFFHALTESTOGD.412,412,POINT (16.37754012662739 48.17314415598348),Reumannplatz,Reumannplatz,"368, 467, 469",1095,
OEFFHALTESTOGD.413,413,POINT (16.381465349689805 48.16615896094683),Schleiergasse,Schleiergasse,"368, 467, 469",1167,
OEFFHALTESTOGD.414,414,POINT (16.385969190852816 48.13242580884855),Radnitzkygasse,Radnitzkygasse,"267, 368, 467, 469",1779,
OEFFHALTESTOGD.415,415,POINT (16.364680970405463 48.18265074967239),Kliebergasse,Kliebergasse,566,689,
OEFFHALTESTOGD.416,416,POINT (16.36856005451604 48.165548941676256),Laxenburger Straﬂe/Raxstraﬂe,Laxenburger Straﬂe/Raxstraﬂe,566,761,
OEFFHALTESTOGD.417,417,POINT (16.31888133948492 48.12525310499087),Vˆsendorf-Siebenhirten,Vˆsendorf-Siebenhirten,"265, 266",5133,
OEFFHALTESTOGD.418,418,POINT (16.35476314011433 48.1750981938463),Kundratstraﬂe,Kundratstraﬂe,"261, 360",727,
OEFFHALTESTOGD.419,419,POINT (16.29753923852475 48.12946092515278),Siebenhirten Brunner Straﬂe,Siebenhirten Brunner Straﬂe,207,1236,
OEFFHALTESTOGD.420,420,POINT (16.272566310160915 48.133657550321175),Liesing Aqu‰dukt,Liesing Aqu‰dukt,255,76,
OEFFHALTESTOGD.421,421,POINT (16.244391549861856 48.13171887023989),Kaltenleutgebner Straﬂe 10/63,Kaltenleutgebner Straﬂe 10/63,255,373,
OEFFHALTESTOGD.422,422,POINT (16.23993019524042 48.13099781119717),Alte Polstererm¸hle,Alte Polstererm¸hle,255,1032,
OEFFHALTESTOGD.423,423,POINT (16.337484060664146 48.1979023820695),Westbahnhof,Westbahnhof,360,1468,
OEFFHALTESTOGD.424,424,POINT (16.359378630393543 48.1803881639903),Matzleinsdorfer Platz,Matzleinsdorfer Platz,360,849,
OEFFHALTESTOGD.425,425,POINT (16.384619039856464 48.298321650367406),Langenzersdorfer Straﬂe,Langenzersdorfer Straﬂe,232,1903,
OEFFHALTESTOGD.426,426,POINT (16.241495475957638 48.137855724262735),G¸tenbachstraﬂe,G¸tenbachstraﬂe,354,451,
OEFFHALTESTOGD.427,427,POINT (16.348406797459756 48.2429539360594),Silbergasse,Silbergasse,243,1253,
OEFFHALTESTOGD.428,428,POINT (16.34436721739181 48.244842408560785),Oberdˆbling,Oberdˆbling,243,959,
OEFFHALTESTOGD.429,429,POINT (16.441607461557847 48.15394312250321),Zentralfriedhof 2.Tor,Zentralfriedhof 2.Tor,106,1521,
OEFFHALTESTOGD.430,430,POINT (16.44747124229596 48.152144504672464),Zentralfriedhof 3.Tor,Zentralfriedhof 3.Tor,106,1522,
OEFFHALTESTOGD.431,431,POINT (16.44537627624906 48.14989270972762),Zentralfriedhof Mahnmal 1938/45,Zentralfriedhof Mahnmal 1938/45,106,1829,
OEFFHALTESTOGD.432,432,POINT (16.44045620546403 48.1481744007094),Zentralfriedhof Friedhofs-G‰rtnerei,Zentralfriedhof Friedhofs-G‰rtnerei,106,1830,
OEFFHALTESTOGD.433,433,POINT (16.443507492300256 48.14656195542974),Zentralfriedhof Halle 3/Gruppe 40,Zentralfriedhof Halle 3/Gruppe 40,106,1831,
OEFFHALTESTOGD.434,434,POINT (16.448312524068644 48.14487320371142),Zentralfriedhof Gruppe 121,Zentralfriedhof Gruppe 121,106,1832,
OEFFHALTESTOGD.435,435,POINT (16.451218483322975 48.14504000947651),Zentralfriedhof Gruppe 152,Zentralfriedhof Gruppe 152,106,1833,
OEFFHALTESTOGD.436,436,POINT (16.447901284628802 48.14213590085113),Zentralfriedhof Gruppe 142,Zentralfriedhof Gruppe 142,106,1835,
OEFFHALTESTOGD.437,437,POINT (16.444877051883026 48.14451744927155),Zentralfriedhof Gruppe 66,Zentralfriedhof Gruppe 66,106,1836,
OEFFHALTESTOGD.438,438,POINT (16.442135531408667 48.14242232154018),Zentralfriedhof Gruppe 84,Zentralfriedhof Gruppe 84,106,1837,
OEFFHALTESTOGD.439,439,POINT (16.43880000832795 48.144029649419004),Zentralfriedhof Tor 9/Gruppe 82,Zentralfriedhof Tor 9/Gruppe 82,106,1838,
OEFFHALTESTOGD.440,440,POINT (16.435492191204045 48.14564428629674),Zentralfriedhof Kriegsgr‰ber,Zentralfriedhof Kriegsgr‰ber,106,1839,
OEFFHALTESTOGD.441,441,POINT (16.433308311451686 48.14672938054183),Zentralfriedhof Kriegsgr‰ber 1.WK,Zentralfriedhof Kriegsgr‰ber 1.WK,106,1840,
OEFFHALTESTOGD.442,442,POINT (16.42965800042494 48.151887599403906),Zentralfriedhof Tor 11,Zentralfriedhof Tor 11,106,1828,
OEFFHALTESTOGD.443,443,POINT (16.432532645415574 48.15048106312484),Zentralfriedhof Gruppe 74,Zentralfriedhof Gruppe 74,106,1842,
OEFFHALTESTOGD.444,444,POINT (16.434873412600304 48.15244859107195),Zentralfriedhof Gruppe 47,Zentralfriedhof Gruppe 47,106,1843,
OEFFHALTESTOGD.445,445,POINT (16.43447939306017 48.15641363865505),Zentralfriedhof 1.Tor,Zentralfriedhof 1.Tor,106,1520,
OEFFHALTESTOGD.446,446,POINT (16.45089961787004 48.14296066412013),Zentralfriedhof Gruppe 147,Zentralfriedhof Gruppe 147,106,1834,
OEFFHALTESTOGD.447,447,POINT (16.430195888976417 48.148368192768814),Zentralfriedhof Gruppe 78,Zentralfriedhof Gruppe 78,106,1841,
OEFFHALTESTOGD.448,448,POINT (16.437727571655095 48.15483317310102),Zentralfriedhof Gruppe 11,Zentralfriedhof Gruppe 11,106,1844,
OEFFHALTESTOGD.449,449,POINT (16.422113980461166 48.211057394990775),Stadion,Stadion,1183,1894,
OEFFHALTESTOGD.450,450,POINT (16.376642352810553 48.29667533135242),Ernst-Vasovec-Gasse,Ernst-Vasovec-Gasse,"232, 533",945,
OEFFHALTESTOGD.451,451,POINT (16.474854496035853 48.225399176438465),Haschafeld,Haschafeld,"22A, 98A",477,
OEFFHALTESTOGD.452,452,POINT (16.39181911012582 48.25063056729321),Hubertusdamm,Hubertusdamm,20A,554,
OEFFHALTESTOGD.453,453,POINT (16.52212697456723 48.203188679618414),M¸hlh‰ufel,M¸hlh‰ufel,88B,900,
OEFFHALTESTOGD.454,454,POINT (16.472627053033573 48.16435855950345),Artillerieplatz,Artillerieplatz,"73A, 76A, 79A, 79B",87,
OEFFHALTESTOGD.455,455,POINT (16.394608716096947 48.15638685452707),Siedlung S¸dost,Siedlung S¸dost,"15A, 68A, 68B",1245,
OEFFHALTESTOGD.456,456,POINT (16.510497999875135 48.208596133121496),Arztgasse,Arztgasse,98A,1643,
OEFFHALTESTOGD.457,457,POINT (16.401299847826156 48.224549774546944),Vorgartenstraﬂe,Vorgartenstraﬂe,"11A, 11B",1433,
OEFFHALTESTOGD.458,458,POINT (16.39159574406562 48.26911747749584),Hopfengasse,Hopfengasse,36A,548,
OEFFHALTESTOGD.459,459,POINT (16.370162754209115 48.213625405734106),Concordiaplatz,Concordiaplatz,3A,213,
OEFFHALTESTOGD.460,460,POINT (16.408807533040616 48.24199596256646),Donauturm,Donauturm,20A,1733,
OEFFHALTESTOGD.461,461,POINT (16.41056171952799 48.17035791801967),Am Kanal,Am Kanal,15A,42,
OEFFHALTESTOGD.462,462,POINT (16.29241301209505 48.14155164383353),Marenabr¸cke,Marenabr¸cke,"60A, 66A",826,
OEFFHALTESTOGD.463,463,POINT (16.263008208100473 48.13583287989073),Maireckergasse,Maireckergasse,60A,823,
OEFFHALTESTOGD.464,464,POINT (16.457816713342808 48.22111137824014),Hardeggasse,Hardeggasse,96A,473,
OEFFHALTESTOGD.465,465,POINT (16.262011379662532 48.19349720219152),Seuttergasse,Seuttergasse,53A,1227,
OEFFHALTESTOGD.466,466,POINT (16.41529587463744 48.16519828825124),Mitterfeldgasse,Mitterfeldgasse,69A,879,
OEFFHALTESTOGD.467,467,POINT (16.288548100062897 48.14229312191236),Steinergasse,Steinergasse,"60A, 66A",1629,
OEFFHALTESTOGD.468,468,POINT (16.48815374396737 48.22053282808021),Pilotengasse,Pilotengasse,97A,1647,
OEFFHALTESTOGD.469,469,POINT (16.347156668575355 48.14992575751785),Pfarrgasse,Pfarrgasse,16A,1012,
OEFFHALTESTOGD.470,470,POINT (16.32704932504662 48.20504308007503),Camillo-Sitte-Gasse,Camillo-Sitte-Gasse,48A,197,
OEFFHALTESTOGD.943,943,POINT (16.291654428193382 48.15402658065405),Tullnertalgasse,Tullnertalgasse,"56A, 56B",1395,
OEFFHALTESTOGD.944,944,POINT (16.536314301599504 48.20980494376228),Englisch-Feld-Gasse,Englisch-Feld-Gasse,"26A, 88A",281,
OEFFHALTESTOGD.945,945,POINT (16.489902725804114 48.22667962713516),An den alten Schanzen,An den alten Schanzen,97A,60,
OEFFHALTESTOGD.946,946,POINT (16.483473717142303 48.22471998774797),Billgasse,Billgasse,84A,317,
OEFFHALTESTOGD.947,947,POINT (16.295867994162073 48.22001033321705),Kempfengerngasse,Kempfengerngasse,"46A, 46B",665,
OEFFHALTESTOGD.948,948,POINT (16.38748910657653 48.15871360494799),Neulandschule,Neulandschule,15A,928,
OEFFHALTESTOGD.949,949,POINT (16.410798716886468 48.24927269508475),M¸hlsch¸ttel,M¸hlsch¸ttel,33A,129,
OEFFHALTESTOGD.950,950,POINT (16.388691872417613 48.20418694208114),Weyrgasse,Weyrgasse,74A,1471,
OEFFHALTESTOGD.951,951,POINT (16.37617085333586 48.17808615748553),Keplerplatz,Keplerplatz,14A,666,
OEFFHALTESTOGD.952,952,POINT (16.492139440205353 48.27936552913447),Bettelheimstraﬂe,Bettelheimstraﬂe,25A,133,
OEFFHALTESTOGD.953,953,POINT (16.30486205738817 48.24717287649441),Neustifter Friedhof 1.Tor,Neustifter Friedhof 1.Tor,41A,932,
OEFFHALTESTOGD.954,954,POINT (16.357411576218986 48.18235265188414),Scalagasse,Scalagasse,14A,1154,
OEFFHALTESTOGD.955,955,POINT (16.427773401457955 48.17920089511624),Haidestraﬂe,Haidestraﬂe,76A,465,
OEFFHALTESTOGD.956,956,POINT (16.408072872970205 48.23541861080342),Donau-City Nord,Donau-City Nord,20A,1731,
OEFFHALTESTOGD.957,957,POINT (16.34314945177731 48.14248837868145),Pfarrgasse/Traviatagasse,Pfarrgasse/Traviatagasse,16A,321,
OEFFHALTESTOGD.958,958,POINT (16.28094778519168 48.22661694080386),Plachygasse,Plachygasse,44A,1021,
OEFFHALTESTOGD.959,959,POINT (16.409906265881606 48.25888397979316),Sebastian-Kohl-Gasse,Sebastian-Kohl-Gasse,"28A, 29A",1217,
OEFFHALTESTOGD.960,960,POINT (16.432020351666207 48.16967430497837),Lindenbauergasse,Lindenbauergasse,69A,800,
OEFFHALTESTOGD.961,961,POINT (16.356020311548743 48.184046779653144),Fendigasse,Fendigasse,12A,306,
OEFFHALTESTOGD.962,962,POINT (16.44798928985671 48.27008819061696),Groﬂfeldsiedlung,Groﬂfeldsiedlung,"28A, 29A",1859,
OEFFHALTESTOGD.963,963,POINT (16.318711268783993 48.131196024814514),Wienerflurgasse,Wienerflurgasse,61A,1609,
OEFFHALTESTOGD.964,964,POINT (16.330400435035532 48.13873531509965),"Inzersdorf, Zetschegasse","Inzersdorf, Zetschegasse",65A,586,
OEFFHALTESTOGD.965,965,POINT (16.446482227806058 48.262504184516565),Sebaldgasse,Sebaldgasse,27A,1216,
OEFFHALTESTOGD.966,966,POINT (16.479627788633742 48.20709030792469),An der Bien,An der Bien,93A,62,
OEFFHALTESTOGD.967,967,POINT (16.499471594765158 48.24050569290918),Podhagskygasse,Podhagskygasse,"95A, 97A",720,
OEFFHALTESTOGD.968,968,POINT (16.394311076115226 48.13880469833491),H‰mmerlegasse,H‰mmerlegasse,17A,565,
OEFFHALTESTOGD.969,969,POINT (16.316454546586126 48.135072977411184),Stipcakgasse,Stipcakgasse,61A,1606,
OEFFHALTESTOGD.970,970,POINT (16.349225845883904 48.23953642699155),Gatterburggasse,Gatterburggasse,"10A, 35A",376,
OEFFHALTESTOGD.971,971,POINT (16.488460204129893 48.250887902363054),Pichlgasse,Pichlgasse,85A,1878,
OEFFHALTESTOGD.972,972,POINT (16.397054961320563 48.19896872294342),Hainburger Straﬂe,Hainburger Straﬂe,77A,1728,
OEFFHALTESTOGD.973,973,POINT (16.355522388388763 48.253911149499906),Armbrustergasse,Armbrustergasse,38A,80,
OEFFHALTESTOGD.974,974,POINT (16.516327590771024 48.21366420452597),Kahlergasse,Kahlergasse,98A,1711,
OEFFHALTESTOGD.975,975,POINT (16.31488037679257 48.187712046397316),Schloss Schˆnbrunn,Schloss Schˆnbrunn,10A,1176,
OEFFHALTESTOGD.976,976,POINT (16.469229135514446 48.22407665628344),Zschokkegasse,Zschokkegasse,26A,1537,
OEFFHALTESTOGD.977,977,POINT (16.518348677995398 48.20315516455949),Auernheimergasse,Auernheimergasse,88B,98,
OEFFHALTESTOGD.978,978,POINT (16.28583533542636 48.15940187449881),Haus Rosenberg,Haus Rosenberg,"56B, 58A",1001,
OEFFHALTESTOGD.979,979,POINT (16.408316985518553 48.2812194803295),Jedlersdorfer Platz,Jedlersdorfer Platz,32A,1627,
OEFFHALTESTOGD.980,980,POINT (16.37020049905915 48.23535483973265),J‰gerstraﬂe,J‰gerstraﬂe,5B,1667,
OEFFHALTESTOGD.981,981,POINT (16.263440199960016 48.159764395992646),Dostalgasse,Dostalgasse,"56A, 56B",242,
OEFFHALTESTOGD.982,982,POINT (16.322860764215683 48.1439856854883),Goldhammergasse,Goldhammergasse,64A,413,
OEFFHALTESTOGD.983,983,POINT (16.381932816086046 48.217782768037765),Glockengasse,Glockengasse,5A,407,
OEFFHALTESTOGD.984,984,POINT (16.44388248323231 48.22167562473332),Donaustadtstraﬂe/Deinleingasse,Donaustadtstraﬂe/Deinleingasse,94A,485,
OEFFHALTESTOGD.985,985,POINT (16.32393897021666 48.2504854689687),Karth‰userstraﬂe,Karth‰userstraﬂe,39A,660,
OEFFHALTESTOGD.986,986,POINT (16.45286612380445 48.151653862066844),Zentralfriedhof 4.Tor,Zentralfriedhof 4.Tor,71A,1523,
OEFFHALTESTOGD.987,987,POINT (16.53965295943557 48.208548375546215),"Eﬂling, Stadtgrenze","Eﬂling, Stadtgrenze","26A, 88A",441,
OEFFHALTESTOGD.988,988,POINT (16.46556823210197 48.26790967853675),Lichtblaustraﬂe,Lichtblaustraﬂe,25A,1585,
OEFFHALTESTOGD.989,989,POINT (16.321690023776892 48.18725886170946),Weiglgasse,Weiglgasse,57A,1459,
OEFFHALTESTOGD.990,990,POINT (16.370280623964952 48.16851839648265),Laxenburger Straﬂe/Troststraﬂe,Laxenburger Straﬂe/Troststraﬂe,"66A, 67A, 70A",760,
OEFFHALTESTOGD.991,991,POINT (16.487607723243904 48.223837246003995),Reglergasse,Reglergasse,97A,1648,
OEFFHALTESTOGD.992,992,POINT (16.37872988135935 48.1885801196432),Mommsengasse,Mommsengasse,13A,886,
OEFFHALTESTOGD.993,993,POINT (16.354040365440436 48.14768470149294),Inzersdorf Friedhof,Inzersdorf Friedhof,66A,580,
