FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,FZG_ANZAHL,KATEGORIE,WEITERE_INF,SE_ANNO_CAD_DATA
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d3d,4177,POINT (16.337764369561206 48.218284024069945),W17-Jˆrgerstraﬂe,Jˆrgerstraﬂe 24,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d3e,4178,POINT (16.330195401458305 48.21502604488637),W17-Haslingergasse,Haslingergasse 13,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d3f,4179,POINT (16.326658410358874 48.20915107443881),W16-Richard-Wagner Platz,Richard Wagner Platz 10,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d40,4180,POINT (16.309769490212954 48.20747109350178),W16-Ottakring P&R U3,Gutraterplatz 4,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d41,4181,POINT (16.326555415669446 48.212722057950096),W16-J.Nepomuk-Berger Platz,Johann-Nepomuk-Berger Platz 3,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d42,4182,POINT (16.336563345452817 48.19730512487906),W15-Westbahnhof U3/U6,Felberstraﬂe 1 - Parkhaus,17,"3x Combi, 8x City, 2x Economy, 2x Transport, Comfort, Minivan",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d43,4183,POINT (16.31932943056302 48.197667134114624),W15-Johnstraﬂe U3,Meiselstraﬂe 19,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d44,4184,POINT (16.29542454398473 48.19525716086846),W14-L¸tzowgasse,L¸tzowgasse 6,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d45,4215,POINT (16.35555725187227 48.19640811784069),W06-Naschmarkt,Linke Wienzeile,2,"City, Transport",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d46,4216,POINT (16.345227292812922 48.189527156993115),W06-Mollardgasse U4,Mollardgasse 77,2,"Combi, Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d47,4217,POINT (16.37640014454863 48.19229312395579),W04-Theresianumgasse,Theresianumgasse,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d48,4218,POINT (16.36854918557996 48.19459111850726),W04-Rainer Garage,Floragasse 7,1,Combi,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d49,4219,POINT (16.36623020217806 48.19863910041021),W04-Operngasse,Operngasse 24,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4a,4220,POINT (16.36592519234559 48.19049713923907),W04-Klagbaumgasse,Klagbaumgasse 3,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4b,4221,POINT (16.373243168402503 48.19874409515734),W04-Karlskirche U1/U2/U4,Mattiellistraﬂe 2-4,1,Comfort,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4c,4222,POINT (16.397945040929017 48.19352210517059),W03-Wohnpark Rennweg,Landstraﬂer Hauptstraﬂe 146/14,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4d,4223,POINT (16.388724102472814 48.205394054348886),W03-Seidlgasse,Seidlgasse 35,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4e,4224,POINT (16.392698078711316 48.202586064955845),W03-Rochusmarkt,Kundmanngasse gg¸. 29,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d4f,4225,POINT (16.383972116078322 48.19924908616739),W03-Reisnerstraﬂe,Reisnerstraﬂe 35,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d50,4226,POINT (16.387817113949378 48.21119802701952),W03-Pfefferhofgasse,Pfefferhofgasse 8 /2,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d51,4227,POINT (16.386291115008436 48.206594050286554),W03-Wien Mitte,Invalidenstraﬂe 5,2,"City, Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d52,4228,POINT (16.3773471490307 48.19901509174125),W03-Heumarkt,Zaunergasse 1-3,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d53,4229,POINT (16.413209961204462 48.19017411158827),W03-Erdberg P&R U3,Erdbergstraﬂe 202,6,"2x Combi, Economy, Minivan, Transport, City",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d54,4230,POINT (16.40891102181516 48.218780977586185),W02-Vorgartenstraﬂe / Messe Wien,Vorgartenstraﬂe 223,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d55,4231,POINT (16.384265140379444 48.21727300027748),W02-Rotensterngasse,Rotensterngasse 23,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d56,4232,POINT (16.375615181896517 48.21637901025986),W02-Groﬂe Schiffgasse,Groﬂe Schiffgasse 10,3,"Combi, City, Transporter",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d57,4233,POINT (16.39977207569915 48.225484951453716),W02-Bike City Vorgartenstraﬂe 130-132,Vorgartenstraﬂe 133,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d58,4234,POINT (16.37499017936944 48.212812027241895),W01-Schwedenplatz U1/U4,Morzinplatz,5,"2x Combi, 2x City, 1x Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d59,4235,POINT (16.376699160616266 48.20539606140328),W01-Hotel Marriott am Parkring,Parkring 12A,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-67457ac_1515d1fb973_3d5a,4236,POINT (16.3648432277659 48.21158103974445),W01-Freyung,Freyung,1,Comfort,http://www.carsharing.at,
